SystemCodeNumber,Occupancy,Capacity,QueueLength,TrafficConditionNearby,rate,Hour,PriceLevel_Model3,Timestamp
BHMBCCMKT01,61,577,1,low,0.10571923743500866,7,Low,2016-10-04 07:59:00
BHMBCCMKT01,64,577,1,low,0.11091854419410745,8,Low,2016-10-04 08:25:00
BHMBCCMKT01,80,577,2,low,0.1386481802426343,8,Low,2016-10-04 08:59:00
BHMBCCMKT01,107,577,2,low,0.1854419410745234,9,Low,2016-10-04 09:32:00
BHMBCCMKT01,150,577,2,low,0.25996533795493937,9,Low,2016-10-04 09:59:00
BHMBCCMKT01,177,577,3,low,0.30675909878682844,10,Medium,2016-10-04 10:26:00
BHMBCCMKT01,219,577,6,high,0.37954939341421146,10,Medium,2016-10-04 10:59:00
BHMBCCMKT01,247,577,5,average,0.42807625649913345,11,Medium,2016-10-04 11:25:00
BHMBCCMKT01,259,577,5,average,0.4488734835355286,11,Medium,2016-10-04 11:59:00
BHMBCCMKT01,266,577,8,high,0.4610051993067591,12,Medium,2016-10-04 12:29:00
BHMBCCMKT01,269,577,7,high,0.4662045060658579,13,Medium,2016-10-04 13:02:00
BHMBCCMKT01,263,577,7,high,0.4558058925476603,13,Medium,2016-10-04 13:29:00
BHMBCCMKT01,238,577,5,high,0.4124783362218371,14,Medium,2016-10-04 14:02:00
BHMBCCMKT01,215,577,3,average,0.37261698440207974,14,Medium,2016-10-04 14:29:00
BHMBCCMKT01,192,577,3,average,0.3327556325823224,14,Medium,2016-10-04 14:57:00
BHMBCCMKT01,165,577,2,low,0.28596187175043325,15,Low,2016-10-04 15:30:00
BHMBCCMKT01,162,577,1,low,0.2807625649913345,16,Low,2016-10-04 16:04:00
BHMBCCMKT01,143,577,2,average,0.24783362218370883,16,Low,2016-10-04 16:31:00
BHMBCCMKT01,54,577,1,low,0.09358752166377816,7,Low,2016-10-05 07:57:00
BHMBCCMKT01,59,577,1,average,0.1022530329289428,8,Low,2016-10-05 08:30:00
BHMBCCMKT01,71,577,2,low,0.12305025996533796,9,Low,2016-10-05 09:04:00
BHMBCCMKT01,83,577,2,average,0.1438474870017331,9,Low,2016-10-05 09:30:00
BHMBCCMKT01,114,577,3,low,0.1975736568457539,10,Low,2016-10-05 10:04:00
BHMBCCMKT01,128,577,4,high,0.2218370883882149,10,Low,2016-10-05 10:30:00
BHMBCCMKT01,148,577,4,average,0.2564991334488735,11,Low,2016-10-05 11:04:00
BHMBCCMKT01,162,577,4,average,0.2807625649913345,11,Low,2016-10-05 11:30:00
BHMBCCMKT01,178,577,6,high,0.30849220103986136,12,Medium,2016-10-05 12:04:00
BHMBCCMKT01,183,577,7,high,0.317157712305026,12,Medium,2016-10-05 12:30:00
BHMBCCMKT01,175,577,7,high,0.30329289428076256,12,Medium,2016-10-05 12:57:00
BHMBCCMKT01,179,577,6,high,0.31022530329289427,13,Medium,2016-10-05 13:30:00
BHMBCCMKT01,174,577,4,average,0.30155979202772965,13,Medium,2016-10-05 13:57:00
BHMBCCMKT01,158,577,5,high,0.2738301559792028,14,Low,2016-10-05 14:30:00
BHMBCCMKT01,145,577,3,average,0.2512998266897747,14,Low,2016-10-05 14:57:00
BHMBCCMKT01,129,577,2,low,0.22357019064124783,15,Low,2016-10-05 15:30:00
BHMBCCMKT01,121,577,2,low,0.2097053726169844,16,Low,2016-10-05 16:04:00
BHMBCCMKT01,114,577,1,low,0.1975736568457539,16,Low,2016-10-05 16:30:00
BHMBCCMKT01,58,577,1,low,0.10051993067590988,7,Low,2016-10-06 07:57:00
BHMBCCMKT01,63,577,1,low,0.10918544194107452,8,Low,2016-10-06 08:30:00
BHMBCCMKT01,70,577,1,low,0.12131715771230503,8,Low,2016-10-06 08:57:00
BHMBCCMKT01,95,577,2,low,0.16464471403812825,9,Low,2016-10-06 09:30:00
BHMBCCMKT01,135,577,3,low,0.2339688041594454,10,Low,2016-10-06 10:03:00
BHMBCCMKT01,160,577,3,average,0.2772963604852686,10,Low,2016-10-06 10:30:00
BHMBCCMKT01,177,577,3,average,0.30675909878682844,10,Medium,2016-10-06 10:57:00
BHMBCCMKT01,191,577,4,average,0.3310225303292894,11,Medium,2016-10-06 11:30:00
BHMBCCMKT01,199,577,7,high,0.34488734835355284,12,Medium,2016-10-06 12:04:00
BHMBCCMKT01,206,577,7,high,0.35701906412478335,12,Medium,2016-10-06 12:30:00
BHMBCCMKT01,198,577,5,average,0.3431542461005199,12,Medium,2016-10-06 12:57:00
BHMBCCMKT01,208,577,7,high,0.36048526863084923,13,Medium,2016-10-06 13:30:00
BHMBCCMKT01,200,577,5,average,0.3466204506065858,13,Medium,2016-10-06 13:57:00
BHMBCCMKT01,175,577,3,average,0.30329289428076256,14,Medium,2016-10-06 14:30:00
BHMBCCMKT01,158,577,2,low,0.2738301559792028,15,Low,2016-10-06 15:04:00
